0,Salmon Guru,40.41491301411170000000,-3.69952693207653000000,Dimly lit retro-style bar with unusual international dishes and original cocktails.,€€,4.6,https://lh5.googleusercontent.com/p/AF1QipO3R0rIxOoeuTZ3ksfOzNU_tT_nArN-i6G9mxTx=w408-h271-k-no
1,Angelita,40.42037792444910000000,-3.70039693974395000000,Modern Spanish cuisine and a large selection of wines in a restaurant with a relaxed atmosphere.,€€,4.7,https://lh5.googleusercontent.com/p/AF1QipPWq9R90ONN9R5S2jesRK7OJv2vhanORYFDn9I_=w426-h240-k-no
2,1862 Dry Bar,40.42417544754170000000,-3.70653025432388000000,No description.,€€,4.6,https://lh5.googleusercontent.com/p/AF1QipP53aAl-wZBfnnc-OOVzDbUJ46o0msOKioE0u5C=w426-h240-k-no
3,La Venecia,40.41585864717570000000,-3.69954368018896000000,5 types of sherry and hearty tapas in a bar from the 1930s with wooden barrels and dusty bottles.,€,4.5,https://lh5.googleusercontent.com/p/AF1QipM2iVHOncm68AH1G0vdgBQ0USt-5cNNT1xK-F8=w408-h543-k-no
4,Calle 365,40.41522825067810000000,-3.69949172137789000000,Imaginative cocktails and tacos in a stylish nightclub with an alternative ambience.,€€,4.7,https://lh5.googleusercontent.com/p/AF1QipNJUHe0qspW-cW5kL61BWH1o9NZIQ7LWZ5GKdBC=w408-h271-k-no
5,Essential Flamenco,40.41490918579710000000,-3.70272902481917000000,No description.,€€,4.7,https://lh5.googleusercontent.com/p/AF1QipMn1hPB9M5yyCY826aV-AHSQFuMCfppcUeDP3Pz=w426-h240-k-no
6,Blackbird Rock Bar,40.41384132379180000000,-3.69965865691337000000,No description.,€€,4.5,https://lh5.googleusercontent.com/p/AF1QipO_CWneDKeWrTJUcjvfqjG9BkoTYvIjQlwl61Pi=w408-h306-k-no
7,La Trocha,40.41338932000500000000,-3.69663253374434000000,No description.,€,4.5,https://lh5.googleusercontent.com/p/AF1QipMOnw80uXGgTY3-I0PrRPNGsGePvdwRTSZzpOQV=w408-h306-k-no
8,La Coquette,40.41786765822290000000,-3.70738343486883000000,No description.,€€,4.6,https://lh5.googleusercontent.com/p/AF1QipO6qMh5pGOWwVO9rGNln0GJZfExDr9C6rY0juRW=w408-h544-k-no
9,100 Montaditos,40.37811008804190000000,-3.62081295498778000000,Chain with various Spanish mini sandwiches as well as beer and wine in a tavern-like ambience with counter sales.,€,3.8,https://lh5.googleusercontent.com/p/AF1QipM5ZCUA0RMdtjMpBg5B8XGr5Xd7Oc-KYTLtz-nX=w408-h306-k-no
